774,403,860,446
774,403,737,545
774,403,669,239
774,403,675,97
737,545,774,403
737,545,860,446
737,545,669,239
737,545,347,527
303,131,242,244
303,131,339,311
303,131,476,52
303,131,675,97
860,446,774,403
860,446,737,545
860,446,669,239
860,446,675,97
675,97,669,239
675,97,476,52
675,97,774,403
675,97,303,131
669,239,675,97
669,239,774,403
669,239,476,52
669,239,860,446
476,52,303,131
476,52,675,97
476,52,669,239
476,52,339,311
347,527,339,311
347,527,242,244
347,527,737,545
347,527,303,131
339,311,242,244
339,311,303,131
339,311,347,527
339,311,476,52
242,244,339,311
242,244,303,131
242,244,347,527
242,244,476,52
